"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 16 12:44:51 IST 2024","Sat Mar 16 12:44:52 IST 2024","1421","Tests","test_login","TestLogin","","","test5_fetch_id_and_password_from_page_then_login",""
"passed","Sat Mar 16 12:42:41 IST 2024","Sat Mar 16 12:42:42 IST 2024","873","Tests","test_api","TestLogin","","","test_8_put_update_user",""
"passed","Sat Mar 16 12:43:00 IST 2024","Sat Mar 16 12:43:05 IST 2024","5175","Tests","test_exception","TestLogin","","","test_1_no_such_element_exception_handling",""
"passed","Mon Mar 04 10:08:32 IST 2024","Mon Mar 04 10:08:32 IST 2024","405","Tests","test_login","TestLogin","","","test_verify_error_notification_with_invalid_password",""
"passed","Sat Mar 16 12:42:46 IST 2024","Sat Mar 16 12:42:47 IST 2024","802","Tests","test_api","TestLogin","","","test_13_post_login_user_success",""
"passed","Sat Mar 16 12:42:37 IST 2024","Sat Mar 16 12:42:38 IST 2024","930","Tests","test_api","TestLogin","","","test_3_get_user_by_id_not_present",""
"failed","Sat Mar 16 12:44:36 IST 2024","Sat Mar 16 12:44:36 IST 2024","170","Tests","test_login","TestLogin","","","test3_verify_error_notification_with_invalid_username",""
"passed","Sat Mar 16 12:42:47 IST 2024","Sat Mar 16 12:42:48 IST 2024","896","Tests","test_api","TestLogin","","","test_14_post_login_user_rejected",""
"passed","Sat Mar 16 12:42:38 IST 2024","Sat Mar 16 12:42:39 IST 2024","572","Tests","test_api","TestLogin","","","test_5_get_unknown_by_id",""
"passed","Sat Mar 16 12:42:44 IST 2024","Sat Mar 16 12:42:45 IST 2024","1235","Tests","test_api","TestLogin","","","test_11_post_register_user_successful",""
"passed","Sat Mar 16 12:43:16 IST 2024","Sat Mar 16 12:43:21 IST 2024","5233","Tests","test_exception","TestLogin","","","test_2_element_not_interactable_exception_handling",""
"passed","Sat Mar 16 12:42:48 IST 2024","Sat Mar 16 12:42:52 IST 2024","4031","Tests","test_api","TestLogin","","","test_15_get_users_with_delay",""
"failed","Sat Mar 16 12:45:03 IST 2024","Sat Mar 16 12:45:03 IST 2024","62","Tests","test_login","TestLogin","","","test6_verify_error_notification_without_credentials",""
"passed","Sat Mar 16 12:42:35 IST 2024","Sat Mar 16 12:42:36 IST 2024","733","Tests","test_api","TestLogin","","","test_1_get_list_users_page_2",""
"passed","Mon Mar 04 10:08:33 IST 2024","Mon Mar 04 10:08:35 IST 2024","2025","Tests","test_login","TestLogin","","","test_logout_functionality",""
"passed","Sat Mar 16 12:42:40 IST 2024","Sat Mar 16 12:42:41 IST 2024","1036","Tests","test_api","TestLogin","","","test_7_post_create_user",""
"passed","Sat Mar 16 12:42:36 IST 2024","Sat Mar 16 12:42:37 IST 2024","673","Tests","test_api","TestLogin","","","test_2_get_user_by_id",""
"passed","Sat Mar 16 12:44:12 IST 2024","Sat Mar 16 12:44:13 IST 2024","931","Tests","test_login","TestLogin","","","test1_login_with_valid_credential",""
"failed","Sat Mar 16 12:44:44 IST 2024","Sat Mar 16 12:44:44 IST 2024","183","Tests","test_login","TestLogin","","","test4_verify_error_notification_with_invalid_password",""
"passed","Mon Mar 04 10:08:16 IST 2024","Mon Mar 04 10:08:19 IST 2024","3695","Tests","test_login","TestLogin","","","test_login_with_valid_credential",""
"passed","Sat Mar 16 12:43:32 IST 2024","Sat Mar 16 12:43:32 IST 2024","75","Tests","test_exception","TestLogin","","","test_3_verify_input_field_disabled_by_default",""
"passed","Sat Mar 16 12:42:38 IST 2024","Sat Mar 16 12:42:38 IST 2024","523","Tests","test_api","TestLogin","","","test_4_get_unknown_data",""
"passed","Sat Mar 16 12:44:23 IST 2024","Sat Mar 16 12:44:25 IST 2024","1639","Tests","test_login","TestLogin","","","test2_logout_functionality",""
"passed","Sat Mar 16 12:42:39 IST 2024","Sat Mar 16 12:42:40 IST 2024","1239","Tests","test_api","TestLogin","","","test_6_get_unknown_by_id_not_found",""
"passed","Sat Mar 16 12:43:58 IST 2024","Sat Mar 16 12:44:03 IST 2024","5049","Tests","test_exception","TestLogin","","","test_5_timeout_exception_handling",""
"passed","Sat Mar 16 12:42:42 IST 2024","Sat Mar 16 12:42:43 IST 2024","1034","Tests","test_api","TestLogin","","","test_9_patch_user",""
"passed","Sat Mar 16 12:42:43 IST 2024","Sat Mar 16 12:42:44 IST 2024","912","Tests","test_api","TestLogin","","","test_10_delete_user",""
"passed","Mon Mar 04 10:08:19 IST 2024","Mon Mar 04 10:08:21 IST 2024","1680","Tests","test_login","TestLogin","","","test_fetch_id_and_password_from_page_then_login",""
"passed","Mon Mar 04 10:08:16 IST 2024","Mon Mar 04 10:08:19 IST 2024","3377","Tests","test_login","TestLogin","","","test_verify_error_notification_with_invalid_username",""
"passed","Sat Mar 16 12:42:45 IST 2024","Sat Mar 16 12:42:46 IST 2024","1068","Tests","test_api","TestLogin","","","test_12_post_register_user_unsuccessful",""
"passed","Mon Mar 04 10:08:17 IST 2024","Mon Mar 04 10:08:18 IST 2024","761","Tests","test_login","TestLogin","","","test_verify_error_notification_without_credentials",""
"passed","Sat Mar 16 12:43:43 IST 2024","Sat Mar 16 12:43:48 IST 2024","5075","Tests","test_exception","TestLogin","","","test_4_stale_element_reference_exception_handling",""
